列車種別,発車時刻,行先駅
Local,00:13,Azamino
Local,00:28,Azamino
Local,05:24,Azamino
Local,05:39,Azamino
Local,05:51,Azamino
Local,06:02,Azamino
Local,06:12,Azamino
Local,06:25,Azamino
Local,06:33,Azamino
Local,06:42,Azamino
Local,06:50,Azamino
Local,06:59,Azamino
Local,07:10,Azamino
Local,07:20,Azamino
Local,07:26,Azamino
Local,07:33,Azamino
Local,07:39,Azamino
Local,07:46,Azamino
Local,07:52,Azamino
Local,07:59,Azamino
Local,08:05,Azamino
Local,08:13,Azamino
Local,08:19,Azamino
Local,08:26,Azamino
Local,08:32,Azamino
Local,08:39,Azamino
Local,08:46,Azamino
Local,08:52,Azamino
Local,08:59,Azamino
Local,09:06,Azamino
Local,09:14,Azamino
Local,09:20,Azamino
Local,09:26,Azamino
Local,09:34,Azamino
Local,09:39,Azamino
Local,09:46,Azamino
Local,09:54,Azamino
Rapid,10:04,Azamino
Local,10:11,Azamino
Local,10:17,Azamino
Local,10:25,Azamino
Rapid,10:34,Azamino
Local,10:42,Azamino
Local,10:48,Azamino
Local,10:55,Azamino
Rapid,11:04,Azamino
Local,11:13,Azamino
Local,11:23,Azamino
Rapid,11:34,Azamino
Local,11:43,Azamino
Local,11:53,Azamino
Rapid,12:04,Azamino
Local,12:13,Azamino
Local,12:23,Azamino
Rapid,12:34,Azamino
Local,12:43,Azamino
Local,12:52,Azamino
Rapid,13:03,Azamino
Local,13:12,Azamino
Local,13:22,Azamino
Rapid,13:33,Azamino
Local,13:42,Azamino
Local,13:52,Azamino
Rapid,14:03,Azamino
Local,14:12,Azamino
Local,14:22,Azamino
Rapid,14:33,Azamino
Local,14:42,Azamino
Local,14:52,Azamino
Rapid,15:03,Azamino
Local,15:12,Azamino
Local,15:22,Azamino
Rapid,15:33,Azamino
Local,15:42,Azamino
Local,15:52,Azamino
Rapid,16:03,Azamino
Local,16:12,Azamino
Local,16:22,Azamino
Rapid,16:33,Azamino
Local,16:41,Azamino
Local,16:48,Azamino
Local,16:55,Azamino
Rapid,17:04,Azamino
Local,17:12,Azamino
Local,17:18,Azamino
Local,17:25,Azamino
Rapid,17:34,Azamino
Local,17:42,Azamino
Local,17:48,Azamino
Local,17:56,Azamino
Rapid,18:04,Azamino
Local,18:12,Azamino
Local,18:18,Azamino
Local,18:26,Azamino
Rapid,18:34,Azamino
Local,18:42,Azamino
Local,18:48,Azamino
Local,18:56,Azamino
Rapid,19:04,Azamino
Local,19:12,Azamino
Local,19:18,Azamino
Local,19:26,Azamino
Rapid,19:34,Azamino
Local,19:42,Azamino
Local,19:48,Azamino
Local,19:56,Azamino
Rapid,20:04,Azamino
Local,20:12,Azamino
Local,20:19,Azamino
Local,20:27,Azamino
Rapid,20:34,Azamino
Local,20:42,Azamino
Local,20:49,Azamino
Local,20:57,Azamino
Rapid,21:04,Azamino
Local,21:12,Azamino
Local,21:18,Azamino
Local,21:25,Azamino
Local,21:33,Azamino
Local,21:42,Azamino
Local,21:48,Azamino
Local,21:56,Azamino
Local,22:03,Azamino
Local,22:11,Azamino
Local,22:19,Azamino
Local,22:27,Azamino
Local,22:37,Azamino
Local,22:47,Azamino
Local,22:58,Azamino
Local,23:09,Azamino
Local,23:20,Azamino
Local,23:33,Azamino
Local,23:44,Azamino
Local,23:58,Azamino
