列車種別,発車時刻,行先駅
Local,00:06,ShinYokohama
Local,00:21,Nippa
Local,05:16,Shonandai
Local,05:26,Shonandai
Local,05:37,Shonandai
Local,05:51,Shonandai
Local,06:00,Shonandai
Local,06:11,Shonandai
Local,06:19,Shonandai
Local,06:25,Shonandai
Local,06:33,Shonandai
Local,06:39,Shonandai
Local,06:46,Shonandai
Local,06:52,Shonandai
Local,06:59,Shonandai
Local,07:05,Shonandai
Local,07:12,Shonandai
Local,07:19,Shonandai
Local,07:25,Shonandai
Local,07:32,Shonandai
Local,07:39,Shonandai
Local,07:45,Shonandai
Local,07:52,Shonandai
Local,07:59,Shonandai
Local,08:05,Shonandai
Local,08:12,Shonandai
Local,08:19,Shonandai
Local,08:25,Shonandai
Local,08:32,Shonandai
Local,08:39,Shonandai
Local,08:45,Shonandai
Local,08:51,Shonandai
Local,08:57,Odoriba
Rapid,09:05,Shonandai
Local,09:14,Shonandai
Local,09:20,Shonandai
Local,09:27,Odoriba
Rapid,09:35,Shonandai
Local,09:45,Shonandai
Local,09:51,Shonandai
Local,09:57,Odoriba
Rapid,10:05,Shonandai
Local,10:17,Shonandai
Local,10:23,Odoriba
Rapid,10:32,Shonandai
Local,10:43,Shonandai
Local,10:53,Odoriba
Rapid,11:02,Shonandai
Local,11:13,Shonandai
Local,11:23,Odoriba
Rapid,11:32,Shonandai
Local,11:43,Shonandai
Local,11:53,Odoriba
Rapid,12:02,Shonandai
Local,12:14,Shonandai
Local,12:23,Odoriba
Rapid,12:32,Shonandai
Local,12:43,Shonandai
Local,12:53,Odoriba
Rapid,13:02,Shonandai
Local,13:13,Shonandai
Local,13:23,Odoriba
Rapid,13:32,Shonandai
Local,13:43,Shonandai
Local,13:53,Shonandai
Rapid,14:02,Shonandai
Local,14:13,Shonandai
Local,14:23,Shonandai
Rapid,14:32,Shonandai
Local,14:43,Shonandai
Local,14:53,Shonandai
Rapid,15:02,Shonandai
Local,15:13,Shonandai
Local,15:23,Shonandai
Rapid,15:32,Shonandai
Local,15:42,Shonandai
Local,15:49,Shonandai
Local,15:56,Odoriba
Rapid,16:04,Shonandai
Local,16:12,Shonandai
Local,16:20,Shonandai
Local,16:27,Odoriba
Rapid,16:35,Shonandai
Local,16:43,Shonandai
Local,16:50,Shonandai
Local,16:57,Odoriba
Rapid,17:05,Shonandai
Local,17:13,Shonandai
Local,17:20,Shonandai
Local,17:27,Odoriba
Rapid,17:35,Shonandai
Local,17:43,Shonandai
Local,17:50,Shonandai
Local,17:57,Odoriba
Rapid,18:05,Shonandai
Local,18:13,Shonandai
Local,18:20,Shonandai
Local,18:27,Odoriba
Rapid,18:35,Shonandai
Local,18:43,Shonandai
Local,18:50,Shonandai
Local,18:57,Odoriba
Rapid,19:05,Shonandai
Local,19:13,Shonandai
Local,19:20,Shonandai
Local,19:27,Odoriba
Rapid,19:35,Shonandai
Local,19:43,Shonandai
Local,19:50,Shonandai
Local,19:57,Odoriba
Rapid,20:05,Shonandai
Local,20:13,Shonandai
Local,20:21,Shonandai
Local,20:28,Shonandai
Local,20:36,Shonandai
Local,20:43,Shonandai
Local,20:51,Shonandai
Local,20:58,Shonandai
Local,21:06,Shonandai
Local,21:13,Shonandai
Local,21:21,Shonandai
Local,21:31,Shonandai
Local,21:40,Shonandai
Local,21:51,Shonandai
Local,22:03,Shonandai
Local,22:13,Shonandai
Local,22:25,Shonandai
Local,22:37,Shonandai
Local,22:49,Shonandai
Local,22:59,Shonandai
Local,23:14,Shonandai
Local,23:29,Kaminagaya
Local,23:45,Kaminagaya
Local,23:55,Nippa
