列車種別,発車時刻,行先駅
Local,00:06,Azamino
Local,00:17,Azamino
Local,00:30,Azamino
Local,00:42,Azamino
Local,00:57,Azamino
Local,05:24,Azamino
Local,05:39,Azamino
Local,05:51,Azamino
Local,06:02,Azamino
Local,06:14,Azamino
Local,06:20,Azamino
Local,06:24,Azamino
Local,06:33,Azamino
Local,06:40,Azamino
Local,06:46,Azamino
Local,06:51,Azamino
Local,06:55,Azamino
Local,07:00,Azamino
Local,07:05,Azamino
Local,07:09,Azamino
Local,07:14,Azamino
Local,07:19,Azamino
Local,07:23,Azamino
Local,07:28,Azamino
Local,07:33,Azamino
Local,07:37,Azamino
Local,07:42,Azamino
Local,07:47,Azamino
Local,07:51,Azamino
Local,07:56,Azamino
Local,08:01,Azamino
Local,08:05,Azamino
Local,08:10,Azamino
Local,08:15,Azamino
Local,08:19,Azamino
Local,08:24,Azamino
Local,08:29,Azamino
Local,08:33,Azamino
Local,08:38,Azamino
Local,08:43,Azamino
Local,08:47,Azamino
Local,08:52,Azamino
Local,08:57,Azamino
Local,09:01,Azamino
Local,09:06,Azamino
Local,09:11,Azamino
Local,09:15,Azamino
Local,09:20,Azamino
Local,09:25,Azamino
Local,09:29,Azamino
Local,09:34,Azamino
Local,09:39,Azamino
Local,09:43,Azamino
Local,09:48,Azamino
Local,09:54,Azamino
Local,10:01,Azamino
Local,10:08,Azamino
Local,10:15,Azamino
Local,10:24,Azamino
Local,10:34,Azamino
Local,10:44,Azamino
Local,10:53,Azamino
Rapid,11:04,Azamino
Local,11:13,Azamino
Local,11:23,Azamino
Rapid,11:33,Azamino
Local,11:42,Azamino
Local,11:52,Azamino
Rapid,12:03,Azamino
Local,12:12,Azamino
Local,12:22,Azamino
Rapid,12:33,Azamino
Local,12:42,Azamino
Local,12:52,Azamino
Rapid,13:03,Azamino
Local,13:12,Azamino
Local,13:22,Azamino
Rapid,13:33,Azamino
Local,13:42,Azamino
Local,13:52,Azamino
Rapid,14:03,Azamino
Local,14:12,Azamino
Local,14:22,Azamino
Rapid,14:33,Azamino
Local,14:42,Azamino
Local,14:52,Azamino
Rapid,15:03,Azamino
Local,15:12,Azamino
Local,15:22,Azamino
Rapid,15:33,Azamino
Local,15:42,Azamino
Local,15:50,Azamino
Local,15:57,Azamino
Rapid,16:05,Azamino
Local,16:14,Azamino
Local,16:20,Azamino
Local,16:27,Azamino
Rapid,16:35,Azamino
Local,16:44,Azamino
Local,16:50,Azamino
Local,16:57,Azamino
Local,17:03,Azamino
Rapid,17:07,Azamino
Local,17:13,Azamino
Local,17:20,Azamino
Local,17:25,Azamino
Local,17:31,Azamino
Local,17:37,Azamino
Local,17:43,Azamino
Local,17:49,Azamino
Local,17:55,Azamino
Local,18:01,Azamino
Local,18:07,Azamino
Local,18:13,Azamino
Local,18:19,Azamino
Local,18:25,Azamino
Local,18:31,Azamino
Local,18:37,Azamino
Local,18:43,Azamino
Local,18:49,Azamino
Local,18:55,Azamino
Local,19:01,Azamino
Local,19:07,Azamino
Local,19:13,Azamino
Local,19:19,Azamino
Local,19:25,Azamino
Local,19:31,Azamino
Local,19:37,Azamino
Local,19:43,Azamino
Local,19:49,Azamino
Local,19:55,Azamino
Local,20:01,Azamino
Local,20:07,Azamino
Local,20:13,Azamino
Local,20:19,Azamino
Local,20:25,Azamino
Local,20:31,Azamino
Local,20:37,Azamino
Local,20:43,Azamino
Local,20:49,Azamino
Local,20:55,Azamino
Local,21:01,Azamino
Local,21:07,Azamino
Local,21:13,Azamino
Local,21:21,Azamino
Local,21:30,Azamino
Local,21:38,Azamino
Local,21:45,Azamino
Local,21:53,Azamino
Local,22:00,Azamino
Local,22:08,Azamino
Local,22:14,Azamino
Local,22:22,Azamino
Local,22:30,Azamino
Local,22:38,Azamino
Local,22:45,Azamino
Local,22:53,Azamino
Local,23:03,Azamino
Local,23:13,Azamino
Local,23:21,Azamino
Local,23:32,Azamino
Local,23:44,Azamino
Local,23:55,Azamino
