列車種別,発車時刻,行先駅
Local,00:04,ShinYokohama
Local,00:14,Nippa
Local,00:25,ShinYokohama
Local,00:39,Nippa
Local,00:50,Nippa
Local,05:16,Shonandai
Local,05:25,Shonandai
Local,05:37,Shonandai
Local,05:51,Shonandai
Local,06:00,Shonandai
Local,06:09,Shonandai
Local,06:19,Shonandai
Local,06:24,Shonandai
Local,06:30,Shonandai
Local,06:34,Shonandai
Local,06:42,Shonandai
Local,06:47,Shonandai
Local,06:52,Shonandai
Local,06:56,Shonandai
Local,07:01,Shonandai
Local,07:06,Shonandai
Local,07:10,Shonandai
Local,07:15,Shonandai
Local,07:20,Shonandai
Local,07:24,Shonandai
Local,07:29,Shonandai
Local,07:34,Shonandai
Local,07:38,Shonandai
Local,07:43,Shonandai
Local,07:48,Shonandai
Local,07:52,Shonandai
Local,07:57,Shonandai
Local,08:02,Shonandai
Local,08:06,Shonandai
Local,08:11,Kaminagaya
Local,08:16,Shonandai
Local,08:20,Shonandai
Local,08:25,Shonandai
Local,08:30,Kaminagaya
Local,08:34,Shonandai
Local,08:39,Kaminagaya
Local,08:44,Shonandai
Local,08:49,Shonandai
Local,08:54,Shonandai
Local,08:57,Nippa
Local,09:02,Kaminagaya
Local,09:07,Shonandai
Local,09:16,Shonandai
Local,09:25,Shonandai
Local,09:30,Odoriba
Local,09:35,Shonandai
Local,09:43,Shonandai
Local,09:53,Odoriba
Rapid,10:02,Shonandai
Local,10:13,Shonandai
Local,10:23,Odoriba
Rapid,10:32,Shonandai
Local,10:43,Shonandai
Local,10:53,Odoriba
Rapid,11:02,Shonandai
Local,11:13,Shonandai
Local,11:23,Odoriba
Rapid,11:32,Shonandai
Local,11:43,Shonandai
Local,11:53,Odoriba
Rapid,12:02,Shonandai
Local,12:13,Shonandai
Local,12:23,Odoriba
Rapid,12:32,Shonandai
Local,12:43,Shonandai
Local,12:53,Odoriba
Rapid,13:02,Shonandai
Local,13:13,Shonandai
Local,13:23,Odoriba
Rapid,13:32,Shonandai
Local,13:43,Shonandai
Local,13:53,Odoriba
Rapid,14:02,Shonandai
Local,14:13,Shonandai
Local,14:23,Odoriba
Rapid,14:32,Shonandai
Local,14:41,Shonandai
Local,14:47,Shonandai
Local,14:53,Odoriba
Rapid,15:02,Shonandai
Local,15:11,Shonandai
Local,15:18,Shonandai
Local,15:23,Shonandai
Rapid,15:32,Shonandai
Local,15:41,Shonandai
Local,15:49,Shonandai
Local,15:55,Shonandai
Rapid,16:04,Shonandai
Local,16:13,Shonandai
Local,16:21,Shonandai
Local,16:27,Shonandai
Local,16:33,Shonandai
Local,16:39,Shonandai
Local,16:45,Shonandai
Local,16:51,Shonandai
Local,16:57,Shonandai
Local,17:03,Shonandai
Local,17:09,Shonandai
Local,17:15,Shonandai
Local,17:21,Shonandai
Local,17:27,Shonandai
Local,17:33,Shonandai
Local,17:39,Shonandai
Local,17:45,Shonandai
Local,17:51,Shonandai
Local,17:57,Shonandai
Local,18:03,Shonandai
Local,18:09,Shonandai
Local,18:15,Shonandai
Local,18:21,Shonandai
Local,18:27,Shonandai
Local,18:33,Shonandai
Local,18:39,Shonandai
Local,18:45,Shonandai
Local,18:51,Shonandai
Local,18:57,Shonandai
Local,19:03,Shonandai
Local,19:09,Shonandai
Local,19:15,Shonandai
Local,19:21,Shonandai
Local,19:27,Shonandai
Local,19:33,Shonandai
Local,19:38,Shonandai
Local,19:45,Shonandai
Local,19:51,Shonandai
Local,19:57,Shonandai
Local,20:03,Shonandai
Local,20:09,Shonandai
Local,20:15,Shonandai
Local,20:21,Shonandai
Local,20:27,Shonandai
Local,20:33,Shonandai
Local,20:39,Shonandai
Local,20:45,Shonandai
Local,20:51,Shonandai
Local,20:57,Shonandai
Local,21:03,Shonandai
Local,21:09,Shonandai
Local,21:15,Shonandai
Local,21:22,Shonandai
Local,21:29,Shonandai
Local,21:36,Shonandai
Local,21:44,Shonandai
Local,21:51,Shonandai
Local,21:59,Shonandai
Local,22:08,Shonandai
Local,22:17,Shonandai
Local,22:28,Shonandai
Local,22:39,Shonandai
Local,22:50,Shonandai
Local,22:58,Nippa
Local,23:04,Shonandai
Local,23:17,Shonandai
Local,23:29,Shonandai
Local,23:44,Shonandai
Local,23:53,Kaminagaya
